,emoji,synsets,synsets_names
1962,🧑🏼‍🦽,"[""2149-N"", ""146819-N"", ""116116-N"", ""120679-N"", ""106607-N""]","[""ЧЕЛОВЕК"", ""РУКОВОДСТВО К ДЕЙСТВИЮ"", ""РУКОВОДСТВО (УЧЕБНОЕ ПОСОБИЕ)"", ""РУКОВОДСТВО, НАЧАЛЬСТВО"", ""УПРАВЛЯТЬ, РУКОВОДИТЬ""]"
1963,🧑🏽‍🦽,"[""118389-A"", ""150714-A"", ""118913-A"", ""2149-N"", ""146819-N"", ""116116-N"", ""120679-N"", ""106607-N""]","[""ПОСРЕДСТВЕННЫЙ, СРЕДНИЙ"", ""СРЕДНИЙ ПО СВОЙСТВАМ, ПРИЗНАКАМ"", ""СРЕДНИЙ, НАХОДЯЩИЙСЯ В СЕРЕДИНЕ"", ""ЧЕЛОВЕК"", ""РУКОВОДСТВО К ДЕЙСТВИЮ"", ""РУКОВОДСТВО (УЧЕБНОЕ ПОСОБИЕ)"", ""РУКОВОДСТВО, НАЧАЛЬСТВО"", ""УПРАВЛЯТЬ, РУКОВОДИТЬ""]"
1964,🧑🏾‍🦽,"[""2149-N"", ""146819-N"", ""116116-N"", ""120679-N"", ""106607-N""]","[""ЧЕЛОВЕК"", ""РУКОВОДСТВО К ДЕЙСТВИЮ"", ""РУКОВОДСТВО (УЧЕБНОЕ ПОСОБИЕ)"", ""РУКОВОДСТВО, НАЧАЛЬСТВО"", ""УПРАВЛЯТЬ, РУКОВОДИТЬ""]"
1965,🧑🏿‍🦽,"[""2149-N"", ""146819-N"", ""114855-N"", ""116116-N"", ""120679-N"", ""106607-N""]","[""ЧЕЛОВЕК"", ""РУКОВОДСТВО К ДЕЙСТВИЮ"", ""МРАК, ТЬМА"", ""РУКОВОДСТВО (УЧЕБНОЕ ПОСОБИЕ)"", ""РУКОВОДСТВО, НАЧАЛЬСТВО"", ""УПРАВЛЯТЬ, РУКОВОДИТЬ""]"
1966,👨‍🦽,"[""146819-N"", ""116116-N"", ""120679-N"", ""106607-N"", ""2149-N""]","[""РУКОВОДСТВО К ДЕЙСТВИЮ"", ""РУКОВОДСТВО (УЧЕБНОЕ ПОСОБИЕ)"", ""РУКОВОДСТВО, НАЧАЛЬСТВО"", ""УПРАВЛЯТЬ, РУКОВОДИТЬ"", ""ЧЕЛОВЕК""]"
1967,👨🏻‍🦽,"[""106607-N"", ""107646-N"", ""2149-N"", ""146819-N"", ""116116-N"", ""107237-N"", ""138572-N"", ""143901-N"", ""120679-N""]","[""УПРАВЛЯТЬ, РУКОВОДИТЬ"", ""ИСТОЧНИК ОСВЕЩЕНИЯ"", ""ЧЕЛОВЕК"", ""РУКОВОДСТВО К ДЕЙСТВИЮ"", ""РУКОВОДСТВО (УЧЕБНОЕ ПОСОБИЕ)"", ""СВЕТ (ЛУЧИСТАЯ ЭНЕРГИЯ)"", ""СВЕТ ГЛАЗ"", ""ВЫСШИЙ СВЕТ"", ""РУКОВОДСТВО, НАЧАЛЬСТВО""]"
1968,👨🏼‍🦽,"[""2149-N"", ""146819-N"", ""116116-N"", ""120679-N"", ""106607-N""]","[""ЧЕЛОВЕК"", ""РУКОВОДСТВО К ДЕЙСТВИЮ"", ""РУКОВОДСТВО (УЧЕБНОЕ ПОСОБИЕ)"", ""РУКОВОДСТВО, НАЧАЛЬСТВО"", ""УПРАВЛЯТЬ, РУКОВОДИТЬ""]"
1969,👨🏽‍🦽,"[""118389-A"", ""150714-A"", ""118913-A"", ""2149-N"", ""146819-N"", ""116116-N"", ""120679-N"", ""106607-N""]","[""ПОСРЕДСТВЕННЫЙ, СРЕДНИЙ"", ""СРЕДНИЙ ПО СВОЙСТВАМ, ПРИЗНАКАМ"", ""СРЕДНИЙ, НАХОДЯЩИЙСЯ В СЕРЕДИНЕ"", ""ЧЕЛОВЕК"", ""РУКОВОДСТВО К ДЕЙСТВИЮ"", ""РУКОВОДСТВО (УЧЕБНОЕ ПОСОБИЕ)"", ""РУКОВОДСТВО, НАЧАЛЬСТВО"", ""УПРАВЛЯТЬ, РУКОВОДИТЬ""]"
1970,👨🏾‍🦽,"[""2149-N"", ""146819-N"", ""116116-N"", ""120679-N"", ""106607-N""]","[""ЧЕЛОВЕК"", ""РУКОВОДСТВО К ДЕЙСТВИЮ"", ""РУКОВОДСТВО (УЧЕБНОЕ ПОСОБИЕ)"", ""РУКОВОДСТВО, НАЧАЛЬСТВО"", ""УПРАВЛЯТЬ, РУКОВОДИТЬ""]"
1971,👨🏿‍🦽,"[""2149-N"", ""146819-N"", ""114855-N"", ""116116-N"", ""120679-N"", ""106607-N""]","[""ЧЕЛОВЕК"", ""РУКОВОДСТВО К ДЕЙСТВИЮ"", ""МРАК, ТЬМА"", ""РУКОВОДСТВО (УЧЕБНОЕ ПОСОБИЕ)"", ""РУКОВОДСТВО, НАЧАЛЬСТВО"", ""УПРАВЛЯТЬ, РУКОВОДИТЬ""]"
1972,👩‍🦽,"[""146819-N"", ""132890-N"", ""116116-N"", ""120679-N"", ""106607-N"", ""756-N""]","[""РУКОВОДСТВО К ДЕЙСТВИЮ"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""РУКОВОДСТВО (УЧЕБНОЕ ПОСОБИЕ)"", ""РУКОВОДСТВО, НАЧАЛЬСТВО"", ""УПРАВЛЯТЬ, РУКОВОДИТЬ"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
1973,👩🏻‍🦽,"[""106607-N"", ""107646-N"", ""132890-N"", ""146819-N"", ""116116-N"", ""107237-N"", ""138572-N"", ""143901-N"", ""756-N"", ""120679-N""]","[""УПРАВЛЯТЬ, РУКОВОДИТЬ"", ""ИСТОЧНИК ОСВЕЩЕНИЯ"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""РУКОВОДСТВО К ДЕЙСТВИЮ"", ""РУКОВОДСТВО (УЧЕБНОЕ ПОСОБИЕ)"", ""СВЕТ (ЛУЧИСТАЯ ЭНЕРГИЯ)"", ""СВЕТ ГЛАЗ"", ""ВЫСШИЙ СВЕТ"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА"", ""РУКОВОДСТВО, НАЧАЛЬСТВО""]"
1974,👩🏼‍🦽,"[""132890-N"", ""146819-N"", ""116116-N"", ""120679-N"", ""106607-N"", ""756-N""]","[""ВЗРОСЛАЯ ЖЕНЩИНА"", ""РУКОВОДСТВО К ДЕЙСТВИЮ"", ""РУКОВОДСТВО (УЧЕБНОЕ ПОСОБИЕ)"", ""РУКОВОДСТВО, НАЧАЛЬСТВО"", ""УПРАВЛЯТЬ, РУКОВОДИТЬ"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
1975,👩🏽‍🦽,"[""118389-A"", ""150714-A"", ""132890-N"", ""118913-A"", ""146819-N"", ""116116-N"", ""120679-N"", ""106607-N"", ""756-N""]","[""ПОСРЕДСТВЕННЫЙ, СРЕДНИЙ"", ""СРЕДНИЙ ПО СВОЙСТВАМ, ПРИЗНАКАМ"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""СРЕДНИЙ, НАХОДЯЩИЙСЯ В СЕРЕДИНЕ"", ""РУКОВОДСТВО К ДЕЙСТВИЮ"", ""РУКОВОДСТВО (УЧЕБНОЕ ПОСОБИЕ)"", ""РУКОВОДСТВО, НАЧАЛЬСТВО"", ""УПРАВЛЯТЬ, РУКОВОДИТЬ"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
1976,👩🏾‍🦽,"[""132890-N"", ""146819-N"", ""116116-N"", ""120679-N"", ""106607-N"", ""756-N""]","[""ВЗРОСЛАЯ ЖЕНЩИНА"", ""РУКОВОДСТВО К ДЕЙСТВИЮ"", ""РУКОВОДСТВО (УЧЕБНОЕ ПОСОБИЕ)"", ""РУКОВОДСТВО, НАЧАЛЬСТВО"", ""УПРАВЛЯТЬ, РУКОВОДИТЬ"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
1977,👩🏿‍🦽,"[""132890-N"", ""146819-N"", ""114855-N"", ""116116-N"", ""120679-N"", ""106607-N"", ""756-N""]","[""ВЗРОСЛАЯ ЖЕНЩИНА"", ""РУКОВОДСТВО К ДЕЙСТВИЮ"", ""МРАК, ТЬМА"", ""РУКОВОДСТВО (УЧЕБНОЕ ПОСОБИЕ)"", ""РУКОВОДСТВО, НАЧАЛЬСТВО"", ""УПРАВЛЯТЬ, РУКОВОДИТЬ"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
1978,🏃,"[""150523-V"", ""131211-V"", ""112585-V"", ""107469-N"", ""2149-N"", ""150522-V"", ""107468-N"", ""153663-V"", ""111201-N"", ""107440-V"", ""114569-V""]","[""ЗАПУСТИТЬ ЗАНЯТИЯ"", ""ВВЕСТИ В ДЕЙСТВИЕ"", ""МЕТАТЬ, БРОСАТЬ С РАЗМАХОМ"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""ЧЕЛОВЕК"", ""ЗАПУСТИТЬ (ПРИВЕСТИ В УПАДОК)"", ""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""ЗАПУСК В ПОЛЕТ"", ""СПОРТИВНЫЙ БЕГ"", ""ЗАПУСТИТЬ, ПРИВЕСТИ В ДЕЙСТВИЕ"", ""ВПУСТИТЬ, ПУСТИТЬ ВНУТРЬ""]"
1979,🏃🏻,"[""107646-N"", ""107469-N"", ""2149-N"", ""107468-N"", ""111201-N"", ""107237-N"", ""138572-N"", ""143901-N""]","[""ИСТОЧНИК ОСВЕЩЕНИЯ"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""ЧЕЛОВЕК"", ""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ"", ""СВЕТ (ЛУЧИСТАЯ ЭНЕРГИЯ)"", ""СВЕТ ГЛАЗ"", ""ВЫСШИЙ СВЕТ""]"
1980,🏃🏼,"[""107468-N"", ""111201-N"", ""107469-N"", ""2149-N""]","[""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""ЧЕЛОВЕК""]"
1981,🏃🏽,"[""118389-A"", ""150714-A"", ""118913-A"", ""107469-N"", ""2149-N"", ""107468-N"", ""111201-N""]","[""ПОСРЕДСТВЕННЫЙ, СРЕДНИЙ"", ""СРЕДНИЙ ПО СВОЙСТВАМ, ПРИЗНАКАМ"", ""СРЕДНИЙ, НАХОДЯЩИЙСЯ В СЕРЕДИНЕ"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""ЧЕЛОВЕК"", ""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ""]"
1982,🏃🏾,"[""107468-N"", ""111201-N"", ""107469-N"", ""2149-N""]","[""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""ЧЕЛОВЕК""]"
1983,🏃🏿,"[""114855-N"", ""107468-N"", ""111201-N"", ""107469-N"", ""2149-N""]","[""МРАК, ТЬМА"", ""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""ЧЕЛОВЕК""]"
1984,🏃‍♂️,"[""107468-N"", ""111201-N"", ""107469-N"", ""2149-N""]","[""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""ЧЕЛОВЕК""]"
1985,🏃‍♂,"[""107468-N"", ""111201-N"", ""107469-N"", ""2149-N""]","[""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""ЧЕЛОВЕК""]"
1986,🏃🏻‍♂️,"[""107646-N"", ""107469-N"", ""2149-N"", ""107468-N"", ""111201-N"", ""107237-N"", ""138572-N"", ""143901-N""]","[""ИСТОЧНИК ОСВЕЩЕНИЯ"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""ЧЕЛОВЕК"", ""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ"", ""СВЕТ (ЛУЧИСТАЯ ЭНЕРГИЯ)"", ""СВЕТ ГЛАЗ"", ""ВЫСШИЙ СВЕТ""]"
1987,🏃🏻‍♂,"[""107646-N"", ""107469-N"", ""2149-N"", ""107468-N"", ""111201-N"", ""107237-N"", ""138572-N"", ""143901-N""]","[""ИСТОЧНИК ОСВЕЩЕНИЯ"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""ЧЕЛОВЕК"", ""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ"", ""СВЕТ (ЛУЧИСТАЯ ЭНЕРГИЯ)"", ""СВЕТ ГЛАЗ"", ""ВЫСШИЙ СВЕТ""]"
1988,🏃🏼‍♂️,"[""107468-N"", ""111201-N"", ""107469-N"", ""2149-N""]","[""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""ЧЕЛОВЕК""]"
1989,🏃🏼‍♂,"[""107468-N"", ""111201-N"", ""107469-N"", ""2149-N""]","[""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""ЧЕЛОВЕК""]"
1990,🏃🏽‍♂️,"[""118389-A"", ""150714-A"", ""118913-A"", ""107469-N"", ""2149-N"", ""107468-N"", ""111201-N""]","[""ПОСРЕДСТВЕННЫЙ, СРЕДНИЙ"", ""СРЕДНИЙ ПО СВОЙСТВАМ, ПРИЗНАКАМ"", ""СРЕДНИЙ, НАХОДЯЩИЙСЯ В СЕРЕДИНЕ"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""ЧЕЛОВЕК"", ""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ""]"
1991,🏃🏽‍♂,"[""118389-A"", ""150714-A"", ""118913-A"", ""107469-N"", ""2149-N"", ""107468-N"", ""111201-N""]","[""ПОСРЕДСТВЕННЫЙ, СРЕДНИЙ"", ""СРЕДНИЙ ПО СВОЙСТВАМ, ПРИЗНАКАМ"", ""СРЕДНИЙ, НАХОДЯЩИЙСЯ В СЕРЕДИНЕ"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""ЧЕЛОВЕК"", ""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ""]"
1992,🏃🏾‍♂️,"[""107468-N"", ""111201-N"", ""107469-N"", ""2149-N""]","[""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""ЧЕЛОВЕК""]"
1993,🏃🏾‍♂,"[""107468-N"", ""111201-N"", ""107469-N"", ""2149-N""]","[""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""ЧЕЛОВЕК""]"
1994,🏃🏿‍♂️,"[""114855-N"", ""107468-N"", ""111201-N"", ""107469-N"", ""2149-N""]","[""МРАК, ТЬМА"", ""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""ЧЕЛОВЕК""]"
1995,🏃🏿‍♂,"[""114855-N"", ""107468-N"", ""111201-N"", ""107469-N"", ""2149-N""]","[""МРАК, ТЬМА"", ""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""ЧЕЛОВЕК""]"
1996,🏃‍♀️,"[""132890-N"", ""8444-N"", ""107469-N"", ""107468-N"", ""111201-N"", ""756-N"", ""111203-N""]","[""ВЗРОСЛАЯ ЖЕНЩИНА"", ""МАЛЬЧИК"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА"", ""БЕГУН""]"
1997,🏃‍♀,"[""132890-N"", ""8444-N"", ""107469-N"", ""107468-N"", ""111201-N"", ""756-N"", ""111203-N""]","[""ВЗРОСЛАЯ ЖЕНЩИНА"", ""МАЛЬЧИК"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА"", ""БЕГУН""]"
1998,🏃🏻‍♀️,"[""107646-N"", ""132890-N"", ""107469-N"", ""107468-N"", ""111201-N"", ""107237-N"", ""138572-N"", ""143901-N"", ""756-N""]","[""ИСТОЧНИК ОСВЕЩЕНИЯ"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ"", ""СВЕТ (ЛУЧИСТАЯ ЭНЕРГИЯ)"", ""СВЕТ ГЛАЗ"", ""ВЫСШИЙ СВЕТ"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
1999,🏃🏻‍♀,"[""107646-N"", ""132890-N"", ""107469-N"", ""107468-N"", ""111201-N"", ""107237-N"", ""138572-N"", ""143901-N"", ""756-N""]","[""ИСТОЧНИК ОСВЕЩЕНИЯ"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ"", ""СВЕТ (ЛУЧИСТАЯ ЭНЕРГИЯ)"", ""СВЕТ ГЛАЗ"", ""ВЫСШИЙ СВЕТ"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
2000,🏃🏼‍♀️,"[""107468-N"", ""111201-N"", ""132890-N"", ""107469-N"", ""756-N""]","[""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
2001,🏃🏼‍♀,"[""107468-N"", ""111201-N"", ""132890-N"", ""107469-N"", ""756-N""]","[""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
2002,🏃🏽‍♀️,"[""132890-N"", ""118389-A"", ""150714-A"", ""118913-A"", ""107469-N"", ""107468-N"", ""111201-N"", ""756-N""]","[""ВЗРОСЛАЯ ЖЕНЩИНА"", ""ПОСРЕДСТВЕННЫЙ, СРЕДНИЙ"", ""СРЕДНИЙ ПО СВОЙСТВАМ, ПРИЗНАКАМ"", ""СРЕДНИЙ, НАХОДЯЩИЙСЯ В СЕРЕДИНЕ"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
2003,🏃🏽‍♀,"[""132890-N"", ""118389-A"", ""150714-A"", ""118913-A"", ""107469-N"", ""107468-N"", ""111201-N"", ""756-N""]","[""ВЗРОСЛАЯ ЖЕНЩИНА"", ""ПОСРЕДСТВЕННЫЙ, СРЕДНИЙ"", ""СРЕДНИЙ ПО СВОЙСТВАМ, ПРИЗНАКАМ"", ""СРЕДНИЙ, НАХОДЯЩИЙСЯ В СЕРЕДИНЕ"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
2004,🏃🏾‍♀️,"[""107468-N"", ""111201-N"", ""132890-N"", ""107469-N"", ""756-N""]","[""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
2005,🏃🏾‍♀,"[""107468-N"", ""111201-N"", ""132890-N"", ""107469-N"", ""756-N""]","[""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
2006,🏃🏿‍♀️,"[""114855-N"", ""107468-N"", ""111201-N"", ""132890-N"", ""107469-N"", ""756-N""]","[""МРАК, ТЬМА"", ""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
2007,🏃🏿‍♀,"[""114855-N"", ""107468-N"", ""111201-N"", ""132890-N"", ""107469-N"", ""756-N""]","[""МРАК, ТЬМА"", ""БЕЖАТЬ (БЫСТРО ДВИГАТЬСЯ)"", ""СПОРТИВНЫЙ БЕГ"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""БЕЖАТЬ (ДВИГАТЬСЯ НА НОГАХ)"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
2008,💃,"[""132890-N"", ""108179-N"", ""108171-N"", ""109437-A"", ""1457-N"", ""7718-N"", ""756-N""]","[""ВЗРОСЛАЯ ЖЕНЩИНА"", ""ТАНЕЦ"", ""ЖЕНСКОЕ ПЛАТЬЕ"", ""КРАСНЫЙ ЦВЕТ"", ""ХОРЕОГРАФИЧЕСКОЕ ИСКУССТВО"", ""ТАНЦОР"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
2009,💃🏻,"[""107646-N"", ""132890-N"", ""108179-N"", ""107237-N"", ""1457-N"", ""143901-N"", ""138572-N"", ""756-N""]","[""ИСТОЧНИК ОСВЕЩЕНИЯ"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""ТАНЕЦ"", ""СВЕТ (ЛУЧИСТАЯ ЭНЕРГИЯ)"", ""ХОРЕОГРАФИЧЕСКОЕ ИСКУССТВО"", ""ВЫСШИЙ СВЕТ"", ""СВЕТ ГЛАЗ"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
2010,💃🏼,"[""108179-N"", ""132890-N"", ""1457-N"", ""756-N""]","[""ТАНЕЦ"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""ХОРЕОГРАФИЧЕСКОЕ ИСКУССТВО"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
2011,💃🏽,"[""118389-A"", ""150714-A"", ""132890-N"", ""118913-A"", ""108179-N"", ""1457-N"", ""756-N""]","[""ПОСРЕДСТВЕННЫЙ, СРЕДНИЙ"", ""СРЕДНИЙ ПО СВОЙСТВАМ, ПРИЗНАКАМ"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""СРЕДНИЙ, НАХОДЯЩИЙСЯ В СЕРЕДИНЕ"", ""ТАНЕЦ"", ""ХОРЕОГРАФИЧЕСКОЕ ИСКУССТВО"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
2012,💃🏾,"[""108179-N"", ""132890-N"", ""1457-N"", ""756-N""]","[""ТАНЕЦ"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""ХОРЕОГРАФИЧЕСКОЕ ИСКУССТВО"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
2013,💃🏿,"[""108179-N"", ""114855-N"", ""132890-N"", ""1457-N"", ""756-N""]","[""ТАНЕЦ"", ""МРАК, ТЬМА"", ""ВЗРОСЛАЯ ЖЕНЩИНА"", ""ХОРЕОГРАФИЧЕСКОЕ ИСКУССТВО"", ""ЖЕНЩИНА, ЧЕЛОВЕК ЖЕНСКОГО ПОЛА""]"
2014,🕺,"[""153536-N"", ""2149-N"", ""108179-N"", ""138575-N"", ""1457-N"", ""7718-N"", ""2453-N"", ""150700-N""]","[""ВЗРОСЛЫЙ МУЖЧИНА"", ""ЧЕЛОВЕК"", ""ТАНЕЦ"", ""НАСТОЯЩИЙ МУЖЧИНА"", ""ХОРЕОГРАФИЧЕСКОЕ ИСКУССТВО"", ""ТАНЦОР"", ""МУЖЧИНА, ЧЕЛОВЕК МУЖСКОГО ПОЛА"", ""ДИСКО (МУЗЫКАЛЬНЫЙ СТИЛЬ)""]"
2015,🕺🏻,"[""107646-N"", ""2149-N"", ""108179-N"", ""107237-N"", ""1457-N"", ""143901-N"", ""138572-N""]","[""ИСТОЧНИК ОСВЕЩЕНИЯ"", ""ЧЕЛОВЕК"", ""ТАНЕЦ"", ""СВЕТ (ЛУЧИСТАЯ ЭНЕРГИЯ)"", ""ХОРЕОГРАФИЧЕСКОЕ ИСКУССТВО"", ""ВЫСШИЙ СВЕТ"", ""СВЕТ ГЛАЗ""]"
2016,🕺🏼,"[""108179-N"", ""1457-N"", ""2149-N""]","[""ТАНЕЦ"", ""ХОРЕОГРАФИЧЕСКОЕ ИСКУССТВО"", ""ЧЕЛОВЕК""]"
