,emoji,synsets,synsets_names
25,😜,"[""115580-V"", ""125251-A"", ""110629-N"", ""106919-N"", ""120869-A"", ""2149-N"", ""151716-N"", ""123943-N"", ""107733-N"", ""2798-N"", ""106959-V""]","[""ПРЕОДОЛЕТЬ"", ""БЕЗУМНЫЙ ПОСТУПОК"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЯЗЫК (ОРГАН ВКУСА)"", ""СУМАСШЕДШИЙ ЧЕЛОВЕК"", ""ЧЕЛОВЕК"", ""ЯЗЫК (МЯСО)"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ЯЗЫК"", ""ВЫИГРАТЬ, ОДЕРЖАТЬ ВЕРХ""]"
26,🤪,"[""115627-V"", ""125251-A"", ""110629-N"", ""120869-A"", ""2149-N"", ""106917-N"", ""124580-A"", ""123943-N"", ""107733-N"", ""118831-A"", ""114664-V"", ""120134-A""]","[""ВОЛНОВАТЬ, ВЫЗВАТЬ ВОЛНЫ"", ""БЕЗУМНЫЙ ПОСТУПОК"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""СУМАСШЕДШИЙ ЧЕЛОВЕК"", ""ЧЕЛОВЕК"", ""ГЛАЗ"", ""НЕЛЮДИМЫЙ (НЕОБЩИТЕЛЬНЫЙ)"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""НЕОБУЗДАННЫЙ"", ""ВОЛНОВАТЬ, ВЫЗЫВАТЬ ЧУВСТВО ВОЛНЕНИЯ"", ""ДИКИЙ (НЕКУЛЬТИВИРУЕМЫЙ, НЕПРИРУЧЕННЫЙ)""]"
27,😝,"[""110629-N"", ""106919-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""2798-N"", ""151716-N""]","[""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЯЗЫК (ОРГАН ВКУСА)"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ЯЗЫК"", ""ЯЗЫК (МЯСО)""]"
28,🤑,"[""118639-N"", ""110629-N"", ""107519-N"", ""2149-N"", ""106917-N"", ""119332-A"", ""123943-N"", ""107733-N"", ""1762-N"", ""151773-N"", ""118977-A"", ""115630-A"", ""119685-A""]","[""ЗНАК РУКОЙ"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЗНАК, ОБОЗНАЧЕНИЕ"", ""ЧЕЛОВЕК"", ""ГЛАЗ"", ""БОГАТЫЙ (ДОРОГОСТОЯЩИЙ)"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""АМЕРИКАНСКИЙ ДОЛЛАР"", ""ЗНАК (ПРЕДМЕТ)"", ""БОГАТЫЙ, НЕБЕДНЫЙ"", ""ОБИЛЬНЫЙ (ОЧЕНЬ ДОСТАТОЧНЫЙ)"", ""МНОГООБРАЗНЫЙ""]"
29,🤗,"[""112039-N"", ""108819-V"", ""107722-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""121131-V"", ""115969-V"", ""110629-N"", ""118693-V"", ""121460-V"", ""119171-N"", ""120706-V""]","[""УЛЫБКА"", ""ОТКРЫТЬ, ПОДНЯТЬ КРЫШКУ"", ""РУКА (КОНЕЧНОСТЬ)"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ОТКРЫТЬ (ПОЛОЖИТЬ НАЧАЛО ДЕЯТЕЛЬНОСТИ)"", ""ОТКРЫТЬ ОТВЕРСТИЕ, ПРОХОД"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ОТКРЫТЬ, РАСКРЫТЬ СЛОЖЕННОЕ"", ""ОТКРЫТЬ ДОСТУП"", ""ОБНЯТЬ, ЗАКЛЮЧИТЬ В ОБЪЯТИЯ"", ""ОТКРЫТЬ, СДЕЛАТЬ ОТКРЫТИЕ""]"
30,🤭,"[""109156-N"", ""110629-N"", ""107722-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""109158-N"", ""111118-N"", ""5092-N""]","[""РОТ, ГУБЫ"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""РУКА (КОНЕЧНОСТЬ)"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ПАСТЬ ЖИВОТНОГО"", ""РОТОВАЯ ПОЛОСТЬ"", ""РОТА""]"
31,🤫,"[""114562-A"", ""3037-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""119637-A"", ""117550-N"", ""1835-N"", ""132049-N"", ""110629-N"", ""151803-N"", ""120361-N"", ""106755-N"", ""123512-A""]","[""ТИХИЙ, НЕГРОМКИЙ"", ""ШЛИФОВАНИЕ ПОВЕРХНОСТИ"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ТИХИЙ, НЕ ОЖИВЛЕННЫЙ"", ""ШЛИФОВАТЬ (УЛУЧШИТЬ)"", ""КООРДИНАТА ШИРОТЫ"", ""МАСШТАБНЫЙ, КРУПНОМАСШТАБНЫЙ"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ШИРОТНЫЙ ПОЯС"", ""ОБШИРНЫЙ ПО ОБЪЕМУ, СОДЕРЖАНИЮ"", ""ШИРИНА"", ""СМИРНЫЙ, ТИХИЙ""]"
32,🤔,"[""106467-N"", ""2149-N"", ""134242-N"", ""151232-N"", ""123943-N"", ""104225-N"", ""107733-N"", ""111021-V"", ""124752-N"", ""137101-N"", ""151239-N"", ""128181-V"", ""111022-V"", ""135354-N"", ""142102-N"", ""118603-N"", ""110629-N"", ""135602-N"", ""120945-N"", ""137289-V"", ""118037-V"", ""115262-N""]","[""МЫСЛИТЕЛЬНЫЙ ПРОЦЕСС"", ""ЧЕЛОВЕК"", ""ТЕНЕВАЯ ЭКОНОМИКА"", ""НАМЕК, СЛАБЫЙ ПРИЗНАК"", ""ЛИЦЕВАЯ СТОРОНА"", ""КИТАЙ"", ""ЛИЦО ЧЕЛОВЕКА"", ""ВЫБРОСИТЬ (УДАЛИТЬ)"", ""ПАЧКА, КИПА"", ""ТЕНЬ (ТЕМНОЕ ОТРАЖЕНИЕ)"", ""ТЕНЬ НА ИЗОБРАЖЕНИИ"", ""ОТКАЗАТЬСЯ ОТ ПРОДОЛЖЕНИЯ, НАМЕРЕНИЙ"", ""БРОСИТЬ (ПЕРЕМЕСТИТЬ)"", ""ТЕНЬ, ТЕНИСТОЕ МЕСТО"", ""МЫШЛЕНИЕ ЧЕЛОВЕКА"", ""СИЛУЭТ (ОЧЕРТАНИЯ В ТЕМНОТЕ, ТУМАНЕ)"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ПРИЗРАК, ФАНТОМ"", ""БАЛЕТНАЯ ПАЧКА"", ""ОСТАВИТЬ ЗАНЯТИЕ"", ""ОСТАВИТЬ (ПОКИНУТЬ МЕСТО)"", ""ТЕНИ ДЛЯ ВЕК""]"
33,🤐,"[""109156-N"", ""5470-N"", ""110629-N"", ""2149-N"", ""123943-N"", ""107733-N"", ""125973-N"", ""143014-V""]","[""РОТ, ГУБЫ"", ""ГАУПТВАХТА"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""ЛИЦЕВАЯ СТОРОНА"", ""ЛИЦО ЧЕЛОВЕКА"", ""ГУБЫ ИНСТРУМЕНТА"", ""ГЕРМЕТИЗАЦИЯ""]"
34,🤨,"[""119132-V"", ""112095-V"", ""110629-N"", ""2149-N"", ""112077-V"", ""123943-N"", ""108733-N"", ""109283-N"", ""107733-N"", ""108734-N"", ""120231-V""]","[""НАПРЯЧЬСЯ, ПРИЛОЖИТЬ УСИЛИЕ"", ""СБОРКА ИЗДЕЛИЯ"", ""ГРАММАТИЧЕСКОЕ ЛИЦО"", ""ЧЕЛОВЕК"", ""СОБРАТЬ В ОДНОМ МЕСТЕ"", ""ЛИЦЕВАЯ СТОРОНА"", ""РОК-МУЗЫКА"", ""БРОВЬ"", ""ЛИЦО ЧЕЛОВЕКА"", ""РОК (НЕСЧАСТЛИВАЯ СУДЬБА)"", ""СОБРАТЬ (СНЯТЬ, СОРВАТЬ)""]"
