,emoji,keywords
143,💛,"{""gold"": 4, ""bf"": 1, ""1"": 4, ""snapchat"": 3, ""yellow"": 10, ""heart"": 234}"
144,💚,"{""nct"": 1, ""green"": 14, ""heart"": 234}"
145,💙,"{""heart"": 234, ""blue"": 11, ""brand"": 1, ""neutral"": 8}"
146,💜,"{""heart"": 234, ""emoji"": 2, ""purple"": 7, ""bts"": 1}"
147,🤎,"{""brown"": 5, ""heart"": 234}"
148,🖤,"{""black"": 15, ""dark"": 564, ""heart"": 234}"
149,🤍,"{""heart"": 234, ""white"": 58}"
150,💯,"{""score"": 2, ""hundred"": 1, ""keep"": 1, ""points"": 1, ""100"": 1, ""perfect"": 2, ""it"": 3}"
151,💢,"{""vein"": 1, ""anger"": 3, ""symbol"": 34, ""pop"": 2, ""sign"": 26}"
152,💥,"{""bang"": 1, ""collision"": 1, ""explode"": 1, ""impact"": 1, ""spark"": 1, ""red"": 49}"
153,💫,"{""star"": 15, ""dizzy"": 2, ""circle"": 13}"
154,💦,"{""drops"": 2, ""water"": 39, ""plewds"": 1, ""droplets"": 1, ""sweat"": 5, ""splashing"": 1}"
155,💨,"{""vaping"": 1, ""away"": 1, ""steam"": 5, ""fast"": 6, ""dashing"": 1}"
156,🕳️,"{""hole"": 3}"
157,🕳,"{""hole"": 3}"
158,💣,"{""bomb"": 1}"
159,💬,"{""balloon"": 3, ""bubble"": 13, ""chat"": 1, ""speech"": 7}"
160,👁️‍🗨️,"{""bubble"": 13, ""eye"": 11, ""witness"": 4, ""i"": 6, ""speech"": 7, ""am"": 4}"
161,👁‍🗨️,"{""bubble"": 13, ""eye"": 11, ""witness"": 4, ""i"": 6, ""speech"": 7, ""am"": 4}"
162,👁️‍🗨,"{""bubble"": 13, ""eye"": 11, ""witness"": 4, ""i"": 6, ""speech"": 7, ""am"": 4}"
163,👁‍🗨,"{""bubble"": 13, ""eye"": 11, ""witness"": 4, ""i"": 6, ""speech"": 7, ""am"": 4}"
164,🗨️,"{""bubble"": 13, ""speech"": 7, ""left"": 19}"
165,🗨,"{""bubble"": 13, ""speech"": 7, ""left"": 19}"
166,🗯️,"{""bubble"": 13, ""zag"": 2, ""anger"": 3, ""right"": 22, ""zig"": 2}"
167,🗯,"{""bubble"": 13, ""zag"": 2, ""anger"": 3, ""right"": 22, ""zig"": 2}"
168,💭,"{""balloon"": 3, ""bubble"": 13, ""thinking"": 2, ""thought"": 1}"
169,💤,"{""zzz"": 2, ""boring"": 1, ""bedtime"": 1, ""sleep"": 2}"
170,👋,"{""waving"": 6, ""wave"": 4, ""hello"": 1, ""goodbye"": 1, ""hand"": 119}"
171,👋🏻,"{""waving"": 6, ""light"": 566, ""hand"": 119}"
172,👋🏼,"{""hand"": 119, ""medium-light"": 561, ""waving"": 6}"
173,👋🏽,"{""hand"": 119, ""medium"": 566, ""waving"": 6}"
174,👋🏾,"{""hand"": 119, ""medium-dark"": 561, ""waving"": 6}"
175,👋🏿,"{""waving"": 6, ""hand"": 119, ""dark"": 564}"
176,🤚,"{""back"": 7, ""backhand"": 25, ""raised"": 21, ""hand"": 119}"
177,🤚🏻,"{""back"": 7, ""light"": 566, ""raised"": 21, ""hand"": 119}"
178,🤚🏼,"{""back"": 7, ""medium-light"": 561, ""raised"": 21, ""hand"": 119}"
179,🤚🏽,"{""back"": 7, ""medium"": 566, ""raised"": 21, ""hand"": 119}"
180,🤚🏾,"{""back"": 7, ""medium-dark"": 561, ""raised"": 21, ""hand"": 119}"
181,🤚🏿,"{""back"": 7, ""raised"": 21, ""hand"": 119, ""dark"": 564}"
182,🖐️,"{""fingers"": 21, ""five"": 6, ""splayed"": 7, ""hand"": 119}"
183,🖐,"{""fingers"": 21, ""five"": 6, ""splayed"": 7, ""hand"": 119}"
184,🖐🏻,"{""light"": 566, ""fingers"": 21, ""splayed"": 7, ""hand"": 119}"
185,🖐🏼,"{""medium-light"": 561, ""fingers"": 21, ""splayed"": 7, ""hand"": 119}"
186,🖐🏽,"{""fingers"": 21, ""medium"": 566, ""splayed"": 7, ""hand"": 119}"
187,🖐🏾,"{""medium-dark"": 561, ""fingers"": 21, ""splayed"": 7, ""hand"": 119}"
188,🖐🏿,"{""fingers"": 21, ""splayed"": 7, ""hand"": 119, ""dark"": 564}"
189,✋,"{""high"": 6, ""stop"": 5, ""raised"": 21, ""hand"": 119, ""five"": 6}"
190,✋🏻,"{""light"": 566, ""raised"": 21, ""hand"": 119}"
191,✋🏼,"{""medium-light"": 561, ""raised"": 21, ""hand"": 119}"
192,✋🏽,"{""medium"": 566, ""raised"": 21, ""hand"": 119}"
193,✋🏾,"{""medium-dark"": 561, ""raised"": 21, ""hand"": 119}"
194,✋🏿,"{""raised"": 21, ""hand"": 119, ""dark"": 564}"
195,🖖,"{""star"": 15, ""salute"": 6, ""vulcan"": 6, ""trek"": 1, ""spock"": 1}"
196,🖖🏻,"{""salute"": 6, ""light"": 566, ""vulcan"": 6}"
197,🖖🏼,"{""salute"": 6, ""medium-light"": 561, ""vulcan"": 6}"
198,🖖🏽,"{""salute"": 6, ""vulcan"": 6, ""medium"": 566}"
199,🖖🏾,"{""salute"": 6, ""vulcan"": 6, ""medium-dark"": 561}"
200,🖖🏿,"{""salute"": 6, ""vulcan"": 6, ""dark"": 564}"
201,👌,"{""hand"": 119, ""perfect"": 2, ""okay"": 2, ""ok"": 37}"
202,👌🏻,"{""ok"": 37, ""light"": 566, ""hand"": 119}"
203,👌🏼,"{""ok"": 37, ""medium-light"": 561, ""hand"": 119}"
204,👌🏽,"{""ok"": 37, ""medium"": 566, ""hand"": 119}"
205,👌🏾,"{""ok"": 37, ""medium-dark"": 561, ""hand"": 119}"
206,👌🏿,"{""ok"": 37, ""hand"": 119, ""dark"": 564}"
207,🤌,"{""purse"": 2, ""pinched"": 6, ""che"": 1, ""finger"": 9, ""vuoi"": 1, ""fingers"": 21, ""ma"": 1}"
208,🤌🏻,"{""pinched"": 6, ""light"": 566, ""fingers"": 21}"
209,🤌🏼,"{""pinched"": 6, ""medium-light"": 561, ""fingers"": 21}"
