,emoji,keywords
2379,🤸🏿‍♂,"{""cartwheeling"": 30, ""man"": 1003, ""dark"": 564}"
2380,🤸‍♀️,"{""cartwheeling"": 30, ""woman"": 1012}"
2381,🤸‍♀,"{""cartwheeling"": 30, ""woman"": 1012}"
2382,🤸🏻‍♀️,"{""light"": 566, ""cartwheeling"": 30, ""woman"": 1012}"
2383,🤸🏻‍♀,"{""light"": 566, ""cartwheeling"": 30, ""woman"": 1012}"
2384,🤸🏼‍♀️,"{""medium-light"": 561, ""cartwheeling"": 30, ""woman"": 1012}"
2385,🤸🏼‍♀,"{""medium-light"": 561, ""cartwheeling"": 30, ""woman"": 1012}"
2386,🤸🏽‍♀️,"{""cartwheeling"": 30, ""medium"": 566, ""woman"": 1012}"
2387,🤸🏽‍♀,"{""cartwheeling"": 30, ""medium"": 566, ""woman"": 1012}"
2388,🤸🏾‍♀️,"{""medium-dark"": 561, ""cartwheeling"": 30, ""woman"": 1012}"
2389,🤸🏾‍♀,"{""medium-dark"": 561, ""cartwheeling"": 30, ""woman"": 1012}"
2390,🤸🏿‍♀️,"{""dark"": 564, ""cartwheeling"": 30, ""woman"": 1012}"
2391,🤸🏿‍♀,"{""dark"": 564, ""cartwheeling"": 30, ""woman"": 1012}"
2392,🤼,"{""people"": 30, ""wrestling"": 5}"
2393,🤼‍♂️,"{""men"": 31, ""wrestling"": 5}"
2394,🤼‍♂,"{""men"": 31, ""wrestling"": 5}"
2395,🤼‍♀️,"{""women"": 32, ""wrestling"": 5}"
2396,🤼‍♀,"{""women"": 32, ""wrestling"": 5}"
2397,🤽,"{""person"": 386, ""polo"": 31, ""water"": 39, ""playing"": 61}"
2398,🤽🏻,"{""water"": 39, ""polo"": 31, ""light"": 566, ""person"": 386, ""playing"": 61}"
2399,🤽🏼,"{""water"": 39, ""polo"": 31, ""medium-light"": 561, ""person"": 386, ""playing"": 61}"
2400,🤽🏽,"{""water"": 39, ""polo"": 31, ""person"": 386, ""medium"": 566, ""playing"": 61}"
2401,🤽🏾,"{""water"": 39, ""polo"": 31, ""person"": 386, ""medium-dark"": 561, ""playing"": 61}"
2402,🤽🏿,"{""water"": 39, ""polo"": 31, ""person"": 386, ""dark"": 564, ""playing"": 61}"
2403,🤽‍♂️,"{""polo"": 31, ""man"": 1003, ""water"": 39, ""playing"": 61}"
2404,🤽‍♂,"{""polo"": 31, ""man"": 1003, ""water"": 39, ""playing"": 61}"
2405,🤽🏻‍♂️,"{""water"": 39, ""polo"": 31, ""light"": 566, ""man"": 1003, ""playing"": 61}"
2406,🤽🏻‍♂,"{""water"": 39, ""polo"": 31, ""light"": 566, ""man"": 1003, ""playing"": 61}"
2407,🤽🏼‍♂️,"{""water"": 39, ""polo"": 31, ""medium-light"": 561, ""man"": 1003, ""playing"": 61}"
2408,🤽🏼‍♂,"{""water"": 39, ""polo"": 31, ""medium-light"": 561, ""man"": 1003, ""playing"": 61}"
2409,🤽🏽‍♂️,"{""water"": 39, ""polo"": 31, ""man"": 1003, ""medium"": 566, ""playing"": 61}"
2410,🤽🏽‍♂,"{""water"": 39, ""polo"": 31, ""man"": 1003, ""medium"": 566, ""playing"": 61}"
2411,🤽🏾‍♂️,"{""water"": 39, ""polo"": 31, ""medium-dark"": 561, ""man"": 1003, ""playing"": 61}"
2412,🤽🏾‍♂,"{""water"": 39, ""polo"": 31, ""medium-dark"": 561, ""man"": 1003, ""playing"": 61}"
2413,🤽🏿‍♂️,"{""water"": 39, ""polo"": 31, ""man"": 1003, ""dark"": 564, ""playing"": 61}"
2414,🤽🏿‍♂,"{""water"": 39, ""polo"": 31, ""man"": 1003, ""dark"": 564, ""playing"": 61}"
2415,🤽‍♀️,"{""polo"": 31, ""woman"": 1012, ""water"": 39, ""playing"": 61}"
2416,🤽‍♀,"{""polo"": 31, ""woman"": 1012, ""water"": 39, ""playing"": 61}"
2417,🤽🏻‍♀️,"{""water"": 39, ""polo"": 31, ""light"": 566, ""woman"": 1012, ""playing"": 61}"
2418,🤽🏻‍♀,"{""water"": 39, ""polo"": 31, ""light"": 566, ""woman"": 1012, ""playing"": 61}"
2419,🤽🏼‍♀️,"{""water"": 39, ""polo"": 31, ""medium-light"": 561, ""woman"": 1012, ""playing"": 61}"
2420,🤽🏼‍♀,"{""water"": 39, ""polo"": 31, ""medium-light"": 561, ""woman"": 1012, ""playing"": 61}"
2421,🤽🏽‍♀️,"{""water"": 39, ""polo"": 31, ""medium"": 566, ""woman"": 1012, ""playing"": 61}"
2422,🤽🏽‍♀,"{""water"": 39, ""polo"": 31, ""medium"": 566, ""woman"": 1012, ""playing"": 61}"
2423,🤽🏾‍♀️,"{""water"": 39, ""polo"": 31, ""medium-dark"": 561, ""woman"": 1012, ""playing"": 61}"
2424,🤽🏾‍♀,"{""water"": 39, ""polo"": 31, ""medium-dark"": 561, ""woman"": 1012, ""playing"": 61}"
2425,🤽🏿‍♀️,"{""water"": 39, ""polo"": 31, ""woman"": 1012, ""dark"": 564, ""playing"": 61}"
2426,🤽🏿‍♀,"{""water"": 39, ""polo"": 31, ""woman"": 1012, ""dark"": 564, ""playing"": 61}"
2427,🤾,"{""person"": 386, ""handball"": 30, ""playing"": 61}"
2428,🤾🏻,"{""light"": 566, ""person"": 386, ""handball"": 30, ""playing"": 61}"
2429,🤾🏼,"{""medium-light"": 561, ""person"": 386, ""handball"": 30, ""playing"": 61}"
2430,🤾🏽,"{""person"": 386, ""medium"": 566, ""handball"": 30, ""playing"": 61}"
2431,🤾🏾,"{""person"": 386, ""medium-dark"": 561, ""handball"": 30, ""playing"": 61}"
2432,🤾🏿,"{""person"": 386, ""handball"": 30, ""dark"": 564, ""playing"": 61}"
2433,🤾‍♂️,"{""handball"": 30, ""man"": 1003, ""playing"": 61}"
2434,🤾‍♂,"{""handball"": 30, ""man"": 1003, ""playing"": 61}"
2435,🤾🏻‍♂️,"{""light"": 566, ""man"": 1003, ""handball"": 30, ""playing"": 61}"
2436,🤾🏻‍♂,"{""light"": 566, ""man"": 1003, ""handball"": 30, ""playing"": 61}"
2437,🤾🏼‍♂️,"{""medium-light"": 561, ""man"": 1003, ""handball"": 30, ""playing"": 61}"
2438,🤾🏼‍♂,"{""medium-light"": 561, ""man"": 1003, ""handball"": 30, ""playing"": 61}"
2439,🤾🏽‍♂️,"{""man"": 1003, ""medium"": 566, ""handball"": 30, ""playing"": 61}"
2440,🤾🏽‍♂,"{""man"": 1003, ""medium"": 566, ""handball"": 30, ""playing"": 61}"
2441,🤾🏾‍♂️,"{""medium-dark"": 561, ""man"": 1003, ""handball"": 30, ""playing"": 61}"
2442,🤾🏾‍♂,"{""medium-dark"": 561, ""man"": 1003, ""handball"": 30, ""playing"": 61}"
2443,🤾🏿‍♂️,"{""man"": 1003, ""handball"": 30, ""dark"": 564, ""playing"": 61}"
2444,🤾🏿‍♂,"{""man"": 1003, ""handball"": 30, ""dark"": 564, ""playing"": 61}"
2445,🤾‍♀️,"{""handball"": 30, ""woman"": 1012, ""playing"": 61}"
2446,🤾‍♀,"{""handball"": 30, ""woman"": 1012, ""playing"": 61}"
2447,🤾🏻‍♀️,"{""light"": 566, ""handball"": 30, ""woman"": 1012, ""playing"": 61}"
2448,🤾🏻‍♀,"{""light"": 566, ""handball"": 30, ""woman"": 1012, ""playing"": 61}"
2449,🤾🏼‍♀️,"{""medium-light"": 561, ""handball"": 30, ""woman"": 1012, ""playing"": 61}"
2450,🤾🏼‍♀,"{""medium-light"": 561, ""handball"": 30, ""woman"": 1012, ""playing"": 61}"
2451,🤾🏽‍♀️,"{""medium"": 566, ""handball"": 30, ""woman"": 1012, ""playing"": 61}"
2452,🤾🏽‍♀,"{""medium"": 566, ""handball"": 30, ""woman"": 1012, ""playing"": 61}"
2453,🤾🏾‍♀️,"{""medium-dark"": 561, ""handball"": 30, ""woman"": 1012, ""playing"": 61}"
2454,🤾🏾‍♀,"{""medium-dark"": 561, ""handball"": 30, ""woman"": 1012, ""playing"": 61}"
2455,🤾🏿‍♀️,"{""woman"": 1012, ""handball"": 30, ""dark"": 564, ""playing"": 61}"
2456,🤾🏿‍♀,"{""woman"": 1012, ""handball"": 30, ""dark"": 564, ""playing"": 61}"
2457,🤹,"{""juggling"": 30, ""person"": 386, ""juggler"": 5}"
2458,🤹🏻,"{""juggling"": 30, ""light"": 566, ""person"": 386}"
2459,🤹🏼,"{""juggling"": 30, ""medium-light"": 561, ""person"": 386}"
2460,🤹🏽,"{""juggling"": 30, ""person"": 386, ""medium"": 566}"
2461,🤹🏾,"{""juggling"": 30, ""person"": 386, ""medium-dark"": 561}"
2462,🤹🏿,"{""juggling"": 30, ""person"": 386, ""dark"": 564}"
2463,🤹‍♂️,"{""juggling"": 30, ""male"": 15, ""man"": 1003, ""juggler"": 5}"
2464,🤹‍♂,"{""juggling"": 30, ""male"": 15, ""man"": 1003, ""juggler"": 5}"
2465,🤹🏻‍♂️,"{""juggling"": 30, ""light"": 566, ""man"": 1003}"
2466,🤹🏻‍♂,"{""juggling"": 30, ""light"": 566, ""man"": 1003}"
2467,🤹🏼‍♂️,"{""juggling"": 30, ""medium-light"": 561, ""man"": 1003}"
2468,🤹🏼‍♂,"{""juggling"": 30, ""medium-light"": 561, ""man"": 1003}"
2469,🤹🏽‍♂️,"{""juggling"": 30, ""man"": 1003, ""medium"": 566}"
2470,🤹🏽‍♂,"{""juggling"": 30, ""man"": 1003, ""medium"": 566}"
2471,🤹🏾‍♂️,"{""juggling"": 30, ""medium-dark"": 561, ""man"": 1003}"
2472,🤹🏾‍♂,"{""juggling"": 30, ""medium-dark"": 561, ""man"": 1003}"
2473,🤹🏿‍♂️,"{""juggling"": 30, ""man"": 1003, ""dark"": 564}"
2474,🤹🏿‍♂,"{""juggling"": 30, ""man"": 1003, ""dark"": 564}"
2475,🤹‍♀️,"{""juggling"": 30, ""woman"": 1012, ""female"": 14, ""juggler"": 5}"
2476,🤹‍♀,"{""juggling"": 30, ""woman"": 1012, ""female"": 14, ""juggler"": 5}"
2477,🤹🏻‍♀️,"{""juggling"": 30, ""light"": 566, ""woman"": 1012}"
2478,🤹🏻‍♀,"{""juggling"": 30, ""light"": 566, ""woman"": 1012}"
2479,🤹🏼‍♀️,"{""juggling"": 30, ""medium-light"": 561, ""woman"": 1012}"
2480,🤹🏼‍♀,"{""juggling"": 30, ""medium-light"": 561, ""woman"": 1012}"
2481,🤹🏽‍♀️,"{""juggling"": 30, ""medium"": 566, ""woman"": 1012}"
2482,🤹🏽‍♀,"{""juggling"": 30, ""medium"": 566, ""woman"": 1012}"
2483,🤹🏾‍♀️,"{""juggling"": 30, ""medium-dark"": 561, ""woman"": 1012}"
2484,🤹🏾‍♀,"{""juggling"": 30, ""medium-dark"": 561, ""woman"": 1012}"
2485,🤹🏿‍♀️,"{""juggling"": 30, ""woman"": 1012, ""dark"": 564}"
2486,🤹🏿‍♀,"{""juggling"": 30, ""woman"": 1012, ""dark"": 564}"
2487,🧘,"{""yoga"": 1, ""position"": 30, ""person"": 386, ""lotus"": 30, ""meditation"": 1}"
2488,🧘🏻,"{""position"": 30, ""light"": 566, ""person"": 386, ""lotus"": 30}"
2489,🧘🏼,"{""position"": 30, ""medium-light"": 561, ""person"": 386, ""lotus"": 30}"
2490,🧘🏽,"{""position"": 30, ""person"": 386, ""medium"": 566, ""lotus"": 30}"
2491,🧘🏾,"{""position"": 30, ""person"": 386, ""medium-dark"": 561, ""lotus"": 30}"
2492,🧘🏿,"{""position"": 30, ""person"": 386, ""lotus"": 30, ""dark"": 564}"
2493,🧘‍♂️,"{""lotus"": 30, ""man"": 1003, ""position"": 30}"
2494,🧘‍♂,"{""lotus"": 30, ""man"": 1003, ""position"": 30}"
2495,🧘🏻‍♂️,"{""position"": 30, ""light"": 566, ""man"": 1003, ""lotus"": 30}"
2496,🧘🏻‍♂,"{""position"": 30, ""light"": 566, ""man"": 1003, ""lotus"": 30}"
2497,🧘🏼‍♂️,"{""position"": 30, ""medium-light"": 561, ""man"": 1003, ""lotus"": 30}"
2498,🧘🏼‍♂,"{""position"": 30, ""medium-light"": 561, ""man"": 1003, ""lotus"": 30}"
2499,🧘🏽‍♂️,"{""position"": 30, ""man"": 1003, ""medium"": 566, ""lotus"": 30}"
2500,🧘🏽‍♂,"{""position"": 30, ""man"": 1003, ""medium"": 566, ""lotus"": 30}"
2501,🧘🏾‍♂️,"{""position"": 30, ""medium-dark"": 561, ""man"": 1003, ""lotus"": 30}"
2502,🧘🏾‍♂,"{""position"": 30, ""medium-dark"": 561, ""man"": 1003, ""lotus"": 30}"
2503,🧘🏿‍♂️,"{""position"": 30, ""man"": 1003, ""lotus"": 30, ""dark"": 564}"
2504,🧘🏿‍♂,"{""position"": 30, ""man"": 1003, ""lotus"": 30, ""dark"": 564}"
2505,🧘‍♀️,"{""lotus"": 30, ""woman"": 1012, ""position"": 30}"
2506,🧘‍♀,"{""lotus"": 30, ""woman"": 1012, ""position"": 30}"
2507,🧘🏻‍♀️,"{""position"": 30, ""light"": 566, ""lotus"": 30, ""woman"": 1012}"
2508,🧘🏻‍♀,"{""position"": 30, ""light"": 566, ""lotus"": 30, ""woman"": 1012}"
2509,🧘🏼‍♀️,"{""position"": 30, ""medium-light"": 561, ""lotus"": 30, ""woman"": 1012}"
2510,🧘🏼‍♀,"{""position"": 30, ""medium-light"": 561, ""lotus"": 30, ""woman"": 1012}"
2511,🧘🏽‍♀️,"{""position"": 30, ""medium"": 566, ""lotus"": 30, ""woman"": 1012}"
2512,🧘🏽‍♀,"{""position"": 30, ""medium"": 566, ""lotus"": 30, ""woman"": 1012}"
2513,🧘🏾‍♀️,"{""position"": 30, ""medium-dark"": 561, ""lotus"": 30, ""woman"": 1012}"
2514,🧘🏾‍♀,"{""position"": 30, ""medium-dark"": 561, ""lotus"": 30, ""woman"": 1012}"
2515,🧘🏿‍♀️,"{""position"": 30, ""woman"": 1012, ""lotus"": 30, ""dark"": 564}"
2516,🧘🏿‍♀,"{""position"": 30, ""woman"": 1012, ""lotus"": 30, ""dark"": 564}"
2517,🛀,"{""taking"": 7, ""bath"": 7, ""hot"": 11, ""person"": 386, ""bathing"": 1}"
2518,🛀🏻,"{""taking"": 7, ""bath"": 7, ""light"": 566, ""person"": 386}"
2519,🛀🏼,"{""taking"": 7, ""medium-light"": 561, ""bath"": 7, ""person"": 386}"
2520,🛀🏽,"{""taking"": 7, ""bath"": 7, ""person"": 386, ""medium"": 566}"
2521,🛀🏾,"{""taking"": 7, ""bath"": 7, ""person"": 386, ""medium-dark"": 561}"
2522,🛀🏿,"{""taking"": 7, ""bath"": 7, ""person"": 386, ""dark"": 564}"
2523,🛌,"{""person"": 386, ""bed"": 8}"
2524,🛌🏻,"{""bed"": 8, ""light"": 566, ""person"": 386}"
2525,🛌🏼,"{""bed"": 8, ""medium-light"": 561, ""person"": 386}"
2526,🛌🏽,"{""bed"": 8, ""person"": 386, ""medium"": 566}"
2527,🛌🏾,"{""bed"": 8, ""person"": 386, ""medium-dark"": 561}"
2528,🛌🏿,"{""bed"": 8, ""person"": 386, ""dark"": 564}"
2529,🧑‍🤝‍🧑,"{""nonconforming"": 1, ""couple"": 207, ""holding"": 104, ""hands"": 131, ""gender"": 6, ""people"": 30, ""inclusive"": 1, ""neutral"": 8}"
2530,🧑🏻‍🤝‍🧑🏻,"{""holding"": 104, ""hands"": 131, ""light"": 566, ""people"": 30}"
2531,🧑🏻‍🤝‍🧑🏼,"{""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""light"": 566, ""people"": 30}"
2532,🧑🏻‍🤝‍🧑🏽,"{""holding"": 104, ""hands"": 131, ""light"": 566, ""people"": 30, ""medium"": 566}"
2533,🧑🏻‍🤝‍🧑🏾,"{""holding"": 104, ""hands"": 131, ""light"": 566, ""people"": 30, ""medium-dark"": 561}"
2534,🧑🏻‍🤝‍🧑🏿,"{""holding"": 104, ""hands"": 131, ""light"": 566, ""people"": 30, ""dark"": 564}"
2535,🧑🏼‍🤝‍🧑🏻,"{""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""light"": 566, ""people"": 30}"
2536,🧑🏼‍🤝‍🧑🏼,"{""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""people"": 30}"
2537,🧑🏼‍🤝‍🧑🏽,"{""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""people"": 30, ""medium"": 566}"
2538,🧑🏼‍🤝‍🧑🏾,"{""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""people"": 30, ""medium-dark"": 561}"
2539,🧑🏼‍🤝‍🧑🏿,"{""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""people"": 30, ""dark"": 564}"
2540,🧑🏽‍🤝‍🧑🏻,"{""holding"": 104, ""hands"": 131, ""light"": 566, ""people"": 30, ""medium"": 566}"
2541,🧑🏽‍🤝‍🧑🏼,"{""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""people"": 30, ""medium"": 566}"
2542,🧑🏽‍🤝‍🧑🏽,"{""holding"": 104, ""hands"": 131, ""people"": 30, ""medium"": 566}"
2543,🧑🏽‍🤝‍🧑🏾,"{""holding"": 104, ""hands"": 131, ""people"": 30, ""medium-dark"": 561, ""medium"": 566}"
2544,🧑🏽‍🤝‍🧑🏿,"{""holding"": 104, ""hands"": 131, ""people"": 30, ""medium"": 566, ""dark"": 564}"
2545,🧑🏾‍🤝‍🧑🏻,"{""holding"": 104, ""hands"": 131, ""light"": 566, ""people"": 30, ""medium-dark"": 561}"
2546,🧑🏾‍🤝‍🧑🏼,"{""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""people"": 30, ""medium-dark"": 561}"
2547,🧑🏾‍🤝‍🧑🏽,"{""holding"": 104, ""hands"": 131, ""people"": 30, ""medium-dark"": 561, ""medium"": 566}"
2548,🧑🏾‍🤝‍🧑🏾,"{""holding"": 104, ""hands"": 131, ""people"": 30, ""medium-dark"": 561}"
2549,🧑🏾‍🤝‍🧑🏿,"{""holding"": 104, ""hands"": 131, ""people"": 30, ""medium-dark"": 561, ""dark"": 564}"
2550,🧑🏿‍🤝‍🧑🏻,"{""holding"": 104, ""hands"": 131, ""light"": 566, ""people"": 30, ""dark"": 564}"
2551,🧑🏿‍🤝‍🧑🏼,"{""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""people"": 30, ""dark"": 564}"
2552,🧑🏿‍🤝‍🧑🏽,"{""holding"": 104, ""hands"": 131, ""people"": 30, ""medium"": 566, ""dark"": 564}"
2553,🧑🏿‍🤝‍🧑🏾,"{""holding"": 104, ""hands"": 131, ""people"": 30, ""medium-dark"": 561, ""dark"": 564}"
2554,🧑🏿‍🤝‍🧑🏿,"{""holding"": 104, ""hands"": 131, ""people"": 30, ""dark"": 564}"
2555,👭,"{""women"": 32, ""couple"": 207, ""lesbian"": 1, ""holding"": 104, ""hands"": 131}"
2556,👭🏻,"{""women"": 32, ""holding"": 104, ""hands"": 131, ""light"": 566}"
2557,👩🏻‍🤝‍👩🏼,"{""women"": 32, ""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""light"": 566}"
2558,👩🏻‍🤝‍👩🏽,"{""women"": 32, ""holding"": 104, ""hands"": 131, ""light"": 566, ""medium"": 566}"
2559,👩🏻‍🤝‍👩🏾,"{""women"": 32, ""holding"": 104, ""hands"": 131, ""light"": 566, ""medium-dark"": 561}"
2560,👩🏻‍🤝‍👩🏿,"{""women"": 32, ""holding"": 104, ""hands"": 131, ""light"": 566, ""dark"": 564}"
2561,👩🏼‍🤝‍👩🏻,"{""women"": 32, ""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""light"": 566}"
2562,👭🏼,"{""women"": 32, ""holding"": 104, ""hands"": 131, ""medium-light"": 561}"
2563,👩🏼‍🤝‍👩🏽,"{""women"": 32, ""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""medium"": 566}"
2564,👩🏼‍🤝‍👩🏾,"{""women"": 32, ""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""medium-dark"": 561}"
2565,👩🏼‍🤝‍👩🏿,"{""women"": 32, ""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""dark"": 564}"
2566,👩🏽‍🤝‍👩🏻,"{""women"": 32, ""holding"": 104, ""hands"": 131, ""light"": 566, ""medium"": 566}"
2567,👩🏽‍🤝‍👩🏼,"{""women"": 32, ""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""medium"": 566}"
2568,👭🏽,"{""women"": 32, ""holding"": 104, ""hands"": 131, ""medium"": 566}"
2569,👩🏽‍🤝‍👩🏾,"{""women"": 32, ""holding"": 104, ""hands"": 131, ""medium-dark"": 561, ""medium"": 566}"
2570,👩🏽‍🤝‍👩🏿,"{""women"": 32, ""holding"": 104, ""hands"": 131, ""medium"": 566, ""dark"": 564}"
2571,👩🏾‍🤝‍👩🏻,"{""women"": 32, ""holding"": 104, ""hands"": 131, ""light"": 566, ""medium-dark"": 561}"
2572,👩🏾‍🤝‍👩🏼,"{""women"": 32, ""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""medium-dark"": 561}"
2573,👩🏾‍🤝‍👩🏽,"{""women"": 32, ""holding"": 104, ""hands"": 131, ""medium-dark"": 561, ""medium"": 566}"
2574,👭🏾,"{""women"": 32, ""holding"": 104, ""hands"": 131, ""medium-dark"": 561}"
2575,👩🏾‍🤝‍👩🏿,"{""women"": 32, ""holding"": 104, ""hands"": 131, ""medium-dark"": 561, ""dark"": 564}"
2576,👩🏿‍🤝‍👩🏻,"{""women"": 32, ""holding"": 104, ""hands"": 131, ""light"": 566, ""dark"": 564}"
2577,👩🏿‍🤝‍👩🏼,"{""women"": 32, ""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""dark"": 564}"
2578,👩🏿‍🤝‍👩🏽,"{""women"": 32, ""holding"": 104, ""hands"": 131, ""medium"": 566, ""dark"": 564}"
2579,👩🏿‍🤝‍👩🏾,"{""women"": 32, ""holding"": 104, ""hands"": 131, ""medium-dark"": 561, ""dark"": 564}"
2580,👭🏿,"{""women"": 32, ""holding"": 104, ""hands"": 131, ""dark"": 564}"
2581,👫,"{""heterosexual"": 1, ""couple"": 207, ""holding"": 104, ""hands"": 131, ""man"": 1003, ""woman"": 1012, ""straight"": 4}"
2582,👫🏻,"{""holding"": 104, ""hands"": 131, ""light"": 566, ""man"": 1003, ""woman"": 1012}"
2583,👩🏻‍🤝‍👨🏼,"{""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""light"": 566, ""man"": 1003, ""woman"": 1012}"
2584,👩🏻‍🤝‍👨🏽,"{""holding"": 104, ""hands"": 131, ""light"": 566, ""man"": 1003, ""medium"": 566, ""woman"": 1012}"
2585,👩🏻‍🤝‍👨🏾,"{""holding"": 104, ""hands"": 131, ""light"": 566, ""medium-dark"": 561, ""man"": 1003, ""woman"": 1012}"
2586,👩🏻‍🤝‍👨🏿,"{""holding"": 104, ""hands"": 131, ""light"": 566, ""woman"": 1012, ""man"": 1003, ""dark"": 564}"
2587,👩🏼‍🤝‍👨🏻,"{""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""light"": 566, ""man"": 1003, ""woman"": 1012}"
2588,👫🏼,"{""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""man"": 1003, ""woman"": 1012}"
2589,👩🏼‍🤝‍👨🏽,"{""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""man"": 1003, ""medium"": 566, ""woman"": 1012}"
2590,👩🏼‍🤝‍👨🏾,"{""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""medium-dark"": 561, ""man"": 1003, ""woman"": 1012}"
2591,👩🏼‍🤝‍👨🏿,"{""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""woman"": 1012, ""man"": 1003, ""dark"": 564}"
2592,👩🏽‍🤝‍👨🏻,"{""holding"": 104, ""hands"": 131, ""light"": 566, ""man"": 1003, ""medium"": 566, ""woman"": 1012}"
2593,👩🏽‍🤝‍👨🏼,"{""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""man"": 1003, ""medium"": 566, ""woman"": 1012}"
2594,👫🏽,"{""holding"": 104, ""hands"": 131, ""man"": 1003, ""medium"": 566, ""woman"": 1012}"
2595,👩🏽‍🤝‍👨🏾,"{""holding"": 104, ""hands"": 131, ""medium-dark"": 561, ""man"": 1003, ""medium"": 566, ""woman"": 1012}"
2596,👩🏽‍🤝‍👨🏿,"{""holding"": 104, ""hands"": 131, ""woman"": 1012, ""man"": 1003, ""medium"": 566, ""dark"": 564}"
2597,👩🏾‍🤝‍👨🏻,"{""holding"": 104, ""hands"": 131, ""light"": 566, ""medium-dark"": 561, ""man"": 1003, ""woman"": 1012}"
2598,👩🏾‍🤝‍👨🏼,"{""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""medium-dark"": 561, ""man"": 1003, ""woman"": 1012}"
2599,👩🏾‍🤝‍👨🏽,"{""holding"": 104, ""hands"": 131, ""medium-dark"": 561, ""man"": 1003, ""medium"": 566, ""woman"": 1012}"
2600,👫🏾,"{""holding"": 104, ""hands"": 131, ""medium-dark"": 561, ""man"": 1003, ""woman"": 1012}"
2601,👩🏾‍🤝‍👨🏿,"{""holding"": 104, ""hands"": 131, ""medium-dark"": 561, ""woman"": 1012, ""man"": 1003, ""dark"": 564}"
2602,👩🏿‍🤝‍👨🏻,"{""holding"": 104, ""hands"": 131, ""light"": 566, ""woman"": 1012, ""man"": 1003, ""dark"": 564}"
2603,👩🏿‍🤝‍👨🏼,"{""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""woman"": 1012, ""man"": 1003, ""dark"": 564}"
2604,👩🏿‍🤝‍👨🏽,"{""holding"": 104, ""hands"": 131, ""woman"": 1012, ""man"": 1003, ""medium"": 566, ""dark"": 564}"
2605,👩🏿‍🤝‍👨🏾,"{""holding"": 104, ""hands"": 131, ""medium-dark"": 561, ""woman"": 1012, ""man"": 1003, ""dark"": 564}"
2606,👫🏿,"{""holding"": 104, ""hands"": 131, ""woman"": 1012, ""man"": 1003, ""dark"": 564}"
2607,👬,"{""couple"": 207, ""holding"": 104, ""hands"": 131, ""gay"": 2, ""men"": 31}"
2608,👬🏻,"{""holding"": 104, ""hands"": 131, ""light"": 566, ""men"": 31}"
2609,👨🏻‍🤝‍👨🏼,"{""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""light"": 566, ""men"": 31}"
2610,👨🏻‍🤝‍👨🏽,"{""holding"": 104, ""hands"": 131, ""light"": 566, ""men"": 31, ""medium"": 566}"
2611,👨🏻‍🤝‍👨🏾,"{""holding"": 104, ""hands"": 131, ""light"": 566, ""medium-dark"": 561, ""men"": 31}"
2612,👨🏻‍🤝‍👨🏿,"{""holding"": 104, ""hands"": 131, ""light"": 566, ""men"": 31, ""dark"": 564}"
2613,👨🏼‍🤝‍👨🏻,"{""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""light"": 566, ""men"": 31}"
2614,👬🏼,"{""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""men"": 31}"
2615,👨🏼‍🤝‍👨🏽,"{""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""men"": 31, ""medium"": 566}"
2616,👨🏼‍🤝‍👨🏾,"{""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""medium-dark"": 561, ""men"": 31}"
2617,👨🏼‍🤝‍👨🏿,"{""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""men"": 31, ""dark"": 564}"
2618,👨🏽‍🤝‍👨🏻,"{""holding"": 104, ""hands"": 131, ""light"": 566, ""men"": 31, ""medium"": 566}"
2619,👨🏽‍🤝‍👨🏼,"{""holding"": 104, ""hands"": 131, ""medium-light"": 561, ""men"": 31, ""medium"": 566}"
2620,👬🏽,"{""holding"": 104, ""hands"": 131, ""men"": 31, ""medium"": 566}"
